word,vowels,consenants,count,beginning,ending,origen
the,1,2,3,1,2,1
of,1,1,2,2,1,1
and,1,2,3,2,1,1
a,1,0,1,2,2,1
to,1,1,2,1,2,1
in,1,1,2,2,1,1
is,1,1,2,2,1,1
you,2,1,3,1,2,1
that,1,3,4,1,1,1
it,1,1,2,2,1,1
he,1,1,2,1,2,1
was,1,2,3,1,1,1
for,1,2,3,1,1,1
on,1,1,2,2,1,1
are,2,1,3,2,2,1
as,1,1,2,2,1,1
with,1,3,4,1,1,1
his,1,2,3,1,1,1
they,1,3,4,1,1,1
i,1,0,1,2,2,1
at,1,1,2,2,1,1
be,1,1,2,1,2,1
this,1,3,4,1,1,1
have,2,2,4,1,2,1
from,1,3,4,1,1,1
or,1,1,2,2,1,1
one,2,1,3,2,2,1
had,1,2,3,1,1,1
by,0,2,2,1,1,1
word,1,3,4,1,1,1
but,1,2,3,1,1,1
not,1,2,3,1,1,1
what,1,3,4,1,1,1
all,1,2,3,2,1,1
were,2,2,4,1,2,1
we ,1,2,3,1,2,1
when,1,3,4,1,1,1
your,2,2,4,1,1,1
can,1,2,3,1,1,1
said,2,2,4,1,1,1
there,2,3,5,1,2,1
use,2,1,3,2,2,1
an ,1,2,3,2,1,1
each,2,2,4,2,1,1
which,1,4,5,1,1,1
she,1,2,3,1,2,1
do,1,1,2,1,2,1
how,1,2,3,1,1,1
their,2,3,5,1,1,1
if,1,1,2,2,1,1
will,1,3,4,1,1,1
up,1,1,2,2,1,1
other,2,3,5,2,1,1
about,3,2,5,2,1,1
out,2,1,3,2,1,1
many,1,3,4,1,1,1
then,1,3,4,1,1,1
them,1,3,4,1,1,1
these,2,3,5,1,2,1
so,1,1,2,1,2,1
some,2,2,4,1,2,1
her,1,2,3,1,1,1
would,2,3,5,1,1,1
make,2,2,4,1,2,1
like,2,2,4,1,2,1
him,1,2,3,1,1,1
into,2,2,4,2,2,1
time,2,2,4,1,2,1
has,1,2,3,1,1,1
look,2,2,4,1,1,1
two,1,2,3,1,2,1
more,2,2,4,1,2,1
write,2,3,5,1,2,1
go,1,1,2,1,2,1
see,2,1,3,1,2,1
number,2,4,6,1,1,1
no ,1,2,3,1,2,1
way,1,2,3,1,1,1
could,2,3,5,1,1,1
people,3,3,6,1,2,1
my,0,2,2,1,1,1
than,1,3,4,1,1,1
first,1,4,5,1,1,1
water,2,3,5,1,1,1
been,2,2,4,1,1,1
call,1,3,4,1,1,1
who,1,2,3,1,2,1
oil,2,1,3,2,1,1
its,1,2,3,2,1,1
now,1,2,3,1,1,1
find,1,3,4,1,1,1
long,1,3,4,1,1,1
down,1,3,4,1,1,1
day,1,2,3,1,1,1
did,1,2,3,1,1,1
get,1,2,3,1,1,1
come,2,2,4,1,2,1
made,2,2,4,1,2,1
may,1,2,3,1,1,1
part,1,3,4,1,1,1
hon,1,2,3,1,1,0
beddo,2,3,5,1,2,0
tanjoby,2,5,7,1,1,0
tokei,3,2,5,1,2,0
namae,3,2,5,1,2,0
kirei,3,2,5,1,2,0
kuroi,3,2,5,1,2,0
shiroi,3,3,6,1,2,0
eigo,3,1,4,2,2,0
daigaku,4,3,7,1,2,0
denwa,2,3,5,1,2,0
basu,2,2,4,1,2,0
neko,2,2,4,1,2,0
inu,2,1,3,2,2,0
konpiuta,4,4,8,1,2,0
fuku,2,2,4,1,2,0
kohi,2,2,4,1,2,0
pan,1,2,3,1,1,0
biru,2,2,4,1,2,0
hirugohan,4,5,9,1,1,0
yushoku,3,4,7,1,2,0
tabemono,4,4,8,1,2,0
nomimono,4,4,8,1,2,0
kudamono,4,4,8,1,2,0
otokonoko,5,4,9,2,2,0
onnanoko,4,4,8,2,2,0
kodomo,3,3,6,1,2,0
haha,2,2,4,1,2,0
chichi,2,4,6,1,2,0
tomodachi,4,5,9,1,2,0
kagusei,4,3,7,1,2,0
sensei,3,3,6,1,2,0
kawa,2,2,4,1,2,0
hana,2,2,4,1,2,0
sakana,3,3,6,1,2,0
sora,2,2,4,1,2,0
yama,2,2,4,1,2,0
ame,2,1,3,2,2,0
ima,2,1,3,2,2,0
kyou,2,2,4,1,2,0
kinou,3,2,5,1,2,0
asita,3,2,5,2,2,0
mainichi,4,4,8,1,2,0
maishu,3,3,6,1,2,0
gozen,2,3,5,1,1,0
gogo,2,2,4,1,2,0
getsuyoubi,5,5,10,1,2,0
kayoubi,4,3,7,1,2,0
suiyoubi,5,3,8,1,2,0
mokuyoubi,5,4,9,1,2,0
